epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,261.909,1.25121,1.48398,1.19741,0.94322,0.91166,0.94463,0.55852,1.39531,0.74501,1.20009,0.00999245,0.00333082,0.00999245,0.00333082,0.00999245,0.00333082,0.00999245,0.00333082
2,470.752,1.25136,0.88042,1.18597,0.95891,0.90858,0.94664,0.55207,1.4435,0.73943,1.25638,0.0197945,0.00659817,0.0197945,0.00659817,0.0197945,0.00659817,0.0197945,0.00659817
3,650.107,1.28302,0.82389,1.22059,0.94318,0.90314,0.93045,0.548,1.42388,0.73342,1.25608,0.0293986,0.00979953,0.0293986,0.00979953,0.0293986,0.00979953,0.0293986,0.00979953
4,828.238,1.28312,0.79452,1.22781,0.95051,0.90081,0.94101,0.60406,1.24299,0.70291,1.18287,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1005.15,1.24086,0.73249,1.20683,0.9649,0.91544,0.95503,0.6096,1.26828,0.5915,1.1599,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1180.28,1.21428,0.69652,1.18716,0.95722,0.92683,0.95506,0.56508,1.43613,0.59949,1.2269,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1353.54,1.19552,0.6717,1.16766,0.96474,0.93433,0.9614,0.63392,1.20808,0.55948,1.14103,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1527.59,1.17801,0.65119,1.16377,0.97592,0.93152,0.96748,0.64138,1.21175,0.54063,1.13563,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1689.31,1.16387,0.63047,1.15231,0.97438,0.9454,0.97172,0.63861,1.21916,0.52194,1.12394,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1849.86,1.15338,0.61576,1.14658,0.97055,0.94299,0.96707,0.63284,1.25338,0.52149,1.13154,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2009.63,1.14508,0.60522,1.13929,0.97765,0.94418,0.97231,0.65361,1.19308,0.50859,1.11018,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2171.12,1.13155,0.59135,1.12868,0.96728,0.94278,0.96473,0.62531,1.26592,0.49987,1.13967,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2330.87,1.12582,0.58621,1.1323,0.96809,0.94418,0.97083,0.66353,1.14866,0.49509,1.09774,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2491.66,1.12131,0.58258,1.12757,0.97668,0.94285,0.97394,0.66729,1.15545,0.48267,1.09322,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2651.87,1.1138,0.57202,1.11846,0.97662,0.94981,0.97402,0.67332,1.13776,0.45869,1.08538,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2812.6,1.10698,0.56314,1.11642,0.97722,0.94554,0.97186,0.65192,1.20238,0.45806,1.10371,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2972.75,1.10043,0.55513,1.11502,0.97066,0.94668,0.97145,0.66315,1.16784,0.45408,1.09963,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3132.64,1.09544,0.55132,1.11179,0.97924,0.95127,0.97455,0.67061,1.14997,0.44765,1.08685,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3292.46,1.08991,0.54542,1.10492,0.97878,0.95211,0.97728,0.674,1.14125,0.43965,1.07831,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3452.69,1.0862,0.54394,1.10172,0.98117,0.95334,0.97774,0.67419,1.13831,0.43116,1.07084,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3612.75,1.08242,0.5365,1.10023,0.97881,0.95122,0.97664,0.67482,1.13599,0.4257,1.07457,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,3773.63,1.07949,0.53382,1.10224,0.97032,0.95919,0.97194,0.67041,1.13329,0.4247,1.07668,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,3933.25,1.07611,0.52755,1.0967,0.97694,0.95377,0.97516,0.67582,1.12512,0.41917,1.06969,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
